Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2006-07-04T00:00:00,20060704,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,3,Tuesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-05T00:00:00,20060705,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,4,Wednesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-06T00:00:00,20060706,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,5,Thursday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-07T00:00:00,20060707,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,6,Friday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-10T00:00:00,20060710,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,2,Monday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-11T00:00:00,20060711,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,3,Tuesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-12T00:00:00,20060712,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,4,Wednesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-13T00:00:00,20060713,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,5,Thursday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-14T00:00:00,20060714,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,6,Friday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-17T00:00:00,20060717,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,2,Monday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-18T00:00:00,20060718,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,3,Tuesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-19T00:00:00,20060719,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,4,Wednesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-20T00:00:00,20060720,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,5,Thursday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-21T00:00:00,20060721,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,6,Friday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-24T00:00:00,20060724,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,2,Monday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-25T00:00:00,20060725,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,3,Tuesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-26T00:00:00,20060726,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,4,Wednesday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-27T00:00:00,20060727,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,5,Thursday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-28T00:00:00,20060728,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,6,Friday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2006-07-31T00:00:00,20060731,2006,CY 2006,20063,Q3-2006,200607,July 2006,7,July,2,Monday,2007,FY 2007,1,Q1,20071,Q1-2007,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-02T00:00:00,20070702,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,2,Monday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-03T00:00:00,20070703,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,3,Tuesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-04T00:00:00,20070704,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,4,Wednesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-05T00:00:00,20070705,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,5,Thursday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-06T00:00:00,20070706,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,6,Friday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-09T00:00:00,20070709,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,2,Monday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-10T00:00:00,20070710,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,3,Tuesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-11T00:00:00,20070711,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,4,Wednesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-12T00:00:00,20070712,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,5,Thursday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-13T00:00:00,20070713,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,6,Friday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-16T00:00:00,20070716,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,2,Monday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-17T00:00:00,20070717,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,3,Tuesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-18T00:00:00,20070718,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,4,Wednesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-19T00:00:00,20070719,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,5,Thursday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-20T00:00:00,20070720,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,6,Friday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-23T00:00:00,20070723,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,2,Monday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-24T00:00:00,20070724,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,3,Tuesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-25T00:00:00,20070725,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,4,Wednesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-26T00:00:00,20070726,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,5,Thursday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-27T00:00:00,20070727,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,6,Friday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-30T00:00:00,20070730,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,2,Monday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2007-07-31T00:00:00,20070731,2007,CY 2007,20073,Q3-2007,200707,July 2007,7,July,3,Tuesday,2008,FY 2008,1,Q1,20081,Q1-2008,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-01T00:00:00,20080701,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,3,Tuesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-02T00:00:00,20080702,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,4,Wednesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-03T00:00:00,20080703,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,5,Thursday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-04T00:00:00,20080704,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,6,Friday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-07T00:00:00,20080707,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,2,Monday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-08T00:00:00,20080708,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,3,Tuesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-09T00:00:00,20080709,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,4,Wednesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-10T00:00:00,20080710,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,5,Thursday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-11T00:00:00,20080711,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,6,Friday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-14T00:00:00,20080714,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,2,Monday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-15T00:00:00,20080715,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,3,Tuesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-16T00:00:00,20080716,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,4,Wednesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-17T00:00:00,20080717,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,5,Thursday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-18T00:00:00,20080718,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,6,Friday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-21T00:00:00,20080721,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,2,Monday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-22T00:00:00,20080722,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,3,Tuesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-23T00:00:00,20080723,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,4,Wednesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-24T00:00:00,20080724,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,5,Thursday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-25T00:00:00,20080725,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,6,Friday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-28T00:00:00,20080728,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,2,Monday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-29T00:00:00,20080729,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,3,Tuesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-30T00:00:00,20080730,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,4,Wednesday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2008-07-31T00:00:00,20080731,2008,CY 2008,20083,Q3-2008,200807,July 2008,7,July,5,Thursday,2009,FY 2009,1,Q1,20091,Q1-2009,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-01T00:00:00,20090701,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,4,Wednesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-02T00:00:00,20090702,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,5,Thursday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-03T00:00:00,20090703,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,6,Friday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-06T00:00:00,20090706,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,2,Monday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-07T00:00:00,20090707,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,3,Tuesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-08T00:00:00,20090708,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,4,Wednesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-09T00:00:00,20090709,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,5,Thursday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-10T00:00:00,20090710,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,6,Friday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-13T00:00:00,20090713,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,2,Monday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-14T00:00:00,20090714,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,3,Tuesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-15T00:00:00,20090715,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,4,Wednesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-16T00:00:00,20090716,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,5,Thursday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-17T00:00:00,20090717,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,6,Friday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-20T00:00:00,20090720,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,2,Monday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-21T00:00:00,20090721,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,3,Tuesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-22T00:00:00,20090722,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,4,Wednesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-23T00:00:00,20090723,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,5,Thursday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-24T00:00:00,20090724,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,6,Friday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-27T00:00:00,20090727,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,2,Monday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-28T00:00:00,20090728,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,3,Tuesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-29T00:00:00,20090729,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,4,Wednesday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-30T00:00:00,20090730,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,5,Thursday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2009-07-31T00:00:00,20090731,2009,CY 2009,20093,Q3-2009,200907,July 2009,7,July,6,Friday,2010,FY 2010,1,Q1,20101,Q1-2010,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-01T00:00:00,20100701,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,5,Thursday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-02T00:00:00,20100702,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,6,Friday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-05T00:00:00,20100705,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,2,Monday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-06T00:00:00,20100706,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,3,Tuesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-07T00:00:00,20100707,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,4,Wednesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-08T00:00:00,20100708,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,5,Thursday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-09T00:00:00,20100709,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,6,Friday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-12T00:00:00,20100712,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,2,Monday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-13T00:00:00,20100713,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,3,Tuesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-14T00:00:00,20100714,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,4,Wednesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-15T00:00:00,20100715,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,5,Thursday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-16T00:00:00,20100716,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,6,Friday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-19T00:00:00,20100719,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,2,Monday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-20T00:00:00,20100720,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,3,Tuesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-21T00:00:00,20100721,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,4,Wednesday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-22T00:00:00,20100722,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,5,Thursday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-23T00:00:00,20100723,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,6,Friday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
2010-07-26T00:00:00,20100726,2010,CY 2010,20103,Q3-2010,201007,July 2010,7,July,2,Monday,2011,FY 2011,1,Q1,20111,Q1-2011,1,July,WorkDay,0,None,Back to School,Back to School,None
